case_id,risk,category,duration_days,turn_count,approx_tokens,topic_switches,has_transfer
CASE-DEMO-0001,3,bribery_corruption,5,106,1315,13,True
CASE-DEMO-0002,3,fraud_scam,5,114,1397,14,True
CASE-DEMO-0003,2,contraband_illicit_trade,5,130,1491,16,True
CASE-DEMO-0004,3,coercion_blackmail,5,144,1694,18,True
CASE-DEMO-0005,2,sexual_transaction_exploitation,4,155,1775,19,True
CASE-DEMO-0006,2,privacy_doxxing,4,87,1025,10,True
CASE-DEMO-0007,3,money_laundering_obfuscation,5,109,1316,13,True
CASE-DEMO-0008,2,theft_robbery_property_crime,4,120,1406,15,False
CASE-DEMO-0009,2,other_illicit_coordination,3,129,1539,16,True
CASE-DEMO-0010,2,fraud_scam,4,150,1751,18,True
CASE-DEMO-0011,3,bribery_corruption,4,87,999,10,False
CASE-DEMO-0012,2,money_laundering_obfuscation,4,102,1193,12,True
CASE-DEMO-0013,2,other_illicit_coordination,3,112,1339,14,True
CASE-DEMO-0014,1,fraud_scam,3,127,1500,15,False
CASE-DEMO-0015,1,coercion_blackmail,3,143,1653,17,True
CASE-DEMO-0016,0,none,4,82,1008,10,True
CASE-DEMO-0017,0,none,3,98,1170,12,True
CASE-DEMO-0018,0,none,3,111,1367,13,True
CASE-DEMO-0019,0,none,4,132,1535,16,True
CASE-DEMO-0020,0,none,4,148,1773,18,False
